all,0.9612482853223594,0.0387517146776406,0.0

0,0.9741258741258741,0.025874125874125874,0.0

1,0.8947368421052632,0.10526315789473684,0.0

all,0.2148,0.2743,
all,0.2277,0.2957,
all,0.231,0.3066,
all,0.2367,0.3317,
all,1.5249,0.3409,
all,5.0,0.4306,
all,5.0,0.6881,
all,5.0,5.0,
0,0.2141,0.2732,
0,0.2259,0.2855,
0,0.2299,0.3029,
0,0.2339,0.3149,
0,0.235,0.3228,
0,0.2382,0.3336,
0,5.0,0.3531,
0,5.0,0.4371,
1,1.5998,5.0,
1,1.6183,5.0,
1,1.6714,5.0,
1,1.6896,5.0,
1,1.6896,5.0,
1,1.6896,5.0,
1,1.6896,5.0,
1,1.6896,5.0,
