all;0.18106995884773663;0.8189300411522634;0.0

0;0.17832167832167833;0.8216783216783217;0.0

1;0.9473684210526315;0.05263157894736842;0.0

all;0.1531;0.1463;
all;0.1772;0.1704;
all;0.1815;0.1806;
all;0.199;0.1927;
all;0.2018;0.1961;
all;0.2062;0.2121;
all;0.2235;0.2184;
all;0.2268;0.2343;
all;0.2435;0.2446;
all;0.2468;0.3141;
0;0.1531;0.1463;
0;0.1771;0.1703;
0;0.1813;0.1788;
0;0.1988;0.1926;
0;0.2016;0.1958;
0;0.2053;0.208;
0;0.2232;0.2178;
0;0.2263;0.2311;
0;0.2427;0.2423;
0;0.2453;0.271;
1;0.0317;0.0317;
1;0.0352;0.0354;
1;1.3939;5.0;
1;1.442;5.0;
1;1.574;5.0;
1;1.586;5.0;
1;1.6182;5.0;
1;1.6872;5.0;
1;1.7563;5.0;
1;1.7785;5.0;
