all,0.9025,0.0975,0.0
0.8675,0.1325,0.0
0.895,0.105,0.0
0.84,0.16,0.0

0,0.8945945945945946,0.10540540540540541,0.0
0.8567567567567568,0.14324324324324325,0.0
0.8864864864864865,0.11351351351351352,0.0
0.8378378378378378,0.16216216216216217,0.0

1,1.0,0.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.8666666666666667,0.13333333333333333,0.0

all,0.0232,0.042,0.0373,0.0407,0.0368,
all,0.0426,0.2356,0.1171,0.1534,0.0963,
all,0.1743,3.3613,0.5947,0.9171,0.2397,
all,0.3964,1.7976931348623157e+308,24.3155,3.3184,0.8065,
0,0.0226,0.04,0.0351,0.0382,0.0345,
0,0.0357,0.2052,0.0955,0.1267,0.0782,
0,0.0566,0.3483,0.1593,0.1991,0.1108,
0,0.1743,0.6077,0.2206,0.4214,0.1361,
1,0.3905,1.7976931348623157e+308,25.1775,3.3749,0.9357,
1,0.602,1.7976931348623157e+308,1.7976931348623157e+308,9.6517,1.7431,
1,1.1797,1.7976931348623157e+308,1.7976931348623157e+308,19.6553,2.024,
1,1.3494,1.7976931348623157e+308,1.7976931348623157e+308,20.1034,2.048,
